seq,c_id,p_id,ans,name,name_ja,m_id,m_kbn,keyword0,keyword1,keyword2,keyword3,keyword4,keyword5,desc
23,00,1,00_1,0　THE FOOL,愚者,D0,大アルカナ,,無謀な行動や計画,独立したいけど計画や実体が伴わない,無鉄砲,人の世話になる,やる気がせず怠ける,
24,01,1,01_1,Ⅰ　THE MAGICIAN,魔術師,D1,大アルカナ,,スタートできない,創造力の不足,前のことが終わらない,いい加減・無計画,発言と行動が一致しない,
25,02,1,02_1,Ⅱ　THE HIGH PRIESTESS,女教皇,D2,大アルカナ,,曖昧にする,向き合う柱がない,勉強不足,独断と偏見,情緒不安定,
26,03,1,03_1,Ⅲ THE EMPRESS,女帝,D3,大アルカナ,,向き合ってこなかった,経験不足,実践不足,楽しくない,良い結果をもたらさない繁栄,
27,04,1,04_1,Ⅳ THE EMPEROR,皇帝,D4,大アルカナ,,実践が足りない,落ち着かない,安心できない,強引な言動をとる,身勝手になり人を支配したがる,
28,05,1,05_1,Ⅴ THE HIEROPHANT,教皇 法王,D5,大アルカナ,,変化を受け入れられない,訴えが通らない,権力を乱用する,道徳に反する,無慈悲,
29,06,1,06_1,Ⅵ THE LOVERS,恋人,D6,大アルカナ,,優柔不断,悪い選択,相手に合わせる,不調和,飽きる・怠慢になる,
30,07,1,07_1,Ⅶ THE CHARIOT,戦車,D7,大アルカナ,,感情をのり越えられない,戦う相手を間違えている,暴走する,勘違いや誤解,一方通行で人に突っかかる,
31,08,1,08_1,Ⅷ THE STRENGTH,力,D8,大アルカナ,,敵を理解できない,力づくで抑える,待てない,器が小さな自分に負ける,お互いの欠点を許せない,
32,09,1,09_1,Ⅸ THE HERMIT,隠者,D9,大アルカナ,,己のことがわからない,自分より他人の意見に左右される,頭がかたい,周りが見えない,殻に閉じこもる,
33,10,1,10_1,Ⅹ WHEEL of FORTUNE,運命の輪,D10,大アルカナ,,何度も戻る,Uターンする,タイミングがずれる,目先だけを考えて進もうとしている,チャンスを気付かない,
34,11,1,11_1,Ⅺ JUSTICE,正義,D11,大アルカナ,,権利を取得できない,名残惜しい,関係を切れない,判断ミス,結論を出せない,
35,12,1,12_1,Ⅻ THE HANGED MAN,吊された男,D12,大アルカナ,,うまく立ち回れない,視点が変わらない,慣れていない,努力を放棄する,報われない奉仕,
36,13,1,13_1,XIII DEATH,死神,D13,大アルカナ,,古くなってもつかう,やっぱり先に行けない,昔への執着,選択の余地もなく終わらせられない,無気力・無感動になる,
37,14,1,14_1,XIV TEMPERANCE,節制,D14,大アルカナ,,頭と心のバランスが崩れる,鬱っぽい,不健康,無駄の多い生活,不摂生,
38,15,1,15_1,XV THE DEVIL,悪魔,D15,大アルカナ,,縛られない,解放,自我ができる,好きものがわかる,克服する,
39,16,1,16_1,XVI THE TOWER,塔,D16,大アルカナ,,あらがうほど痛みが長引く,このままの状態が長く続かない,あとからじわじわくるショック,最悪な事態をまぬがれる,私は私と思う,
40,17,1,17_1,XVII THE STAR,星,D17,大アルカナ,,元の環境に戻りたい,本当に好きなことがわからない,求めていたことを忘れる,期待ばかり先行する,今を変えずに夢をみつけようとする,
41,18,1,18_1,XVIII THE MOON,月,D18,大アルカナ,,応援が入る,背中を押される,早い段階でクリアできる,周りに振り回されることなく進む,不安の正体がわかる,
42,19,1,19_1,XIX THE SUN,太陽,D19,大アルカナ,,不純な成功,不成立,未達成,成功をみんなが喜べない,自己中心的,
43,20,1,20_1,XX JUDGEMENT,審判,D20,大アルカナ,,助けを受けない,復活できない,成功が喜べない,自らあきらめてしまう,無念の思いを引きずる,
44,21,1,21_1,XXI THE WORLD,世界,D21,大アルカナ,,領域が守れない,すべてが完了できない,物事が完結されない,ベストを尽くさない,目指す世界が違うことに気づく,
45,23,0,23_0,PAGE of SWORDS,ソードの小姓,SP,コートカード,,不屈の精神をもつ,挑戦的,負けず嫌い,考えより行動,未熟だが研究熱心な男性,不屈の精神を持つ、挑戦的、負けず嫌い、考えより行動
46,24,0,24_0,KNIGHT of SWORDS,ソードの騎士,SN,コートカード,,ぶれずに一直線に取りにいく,手際の良い男性,逆向に負けず攻める,考えた事をすぐに実行に移す,恐れないで果敢に攻める,率直、一直線、権威的、勝ち負け、威圧的、無情、勝ちに行く
47,25,0,25_0,QUEEN of SWORDS,ソードの女王,SQ,コートカード,,厳しい女性,考え深く物静か,考えを曲げない意志の強さ,権利を守る動きに出る,表立った動きはないが策略的になる,正直、厳しい女性、戦ってきた女性、考えを曲げない意志の強さ
48,26,0,26_0,KING of SWORDS,ソードの王,SK,コートカード,,公正で現実的な男性,強い価値観,道徳的,優位に立つ為の行動で戦いに勝っている,論理的に物事を推し進める,クールでカッコ良く、強い意志や信念、判断力、正義感を持っている一匹狼のような男性
49,37,0,37_0,PAGE of WANDS,ワンドの小姓,WP,コートカード,,しっかりとした若者,好奇心,自分の立ち位置の確認,感情表現がはっきりとわかりやすい言動,目上や上司への気遣いが卓越している,しっかりとした若者、好奇心、自分の立ち位置の確認
50,38,0,38_0,KNIGHT of WANDS,ワンドの騎士,WN,コートカード,,一目おかれたい,人気者になりたい,自惚れ・短気・挑戦的,新しい世界を知りたい,決断が早くスピーディーに動く,一目おかれたい、人気者になりたい、自惚れ、短気、挑戦的
51,39,0,39_0,QUEEN of WANDS,ワンドの女王,WQ,コートカード,,魅力的,精力的,素直で大胆な女性,エネルギッシュ,好奇心旺盛,魅力的、精力的、自信、エネルギッシュ、好奇心旺盛
52,40,0,40_0,KING of WANDS,ワンドの王,WK,コートカード,,クリエイティブ,力強さ,野望的,カリスマ的,リーダーシップ,クリエイティブ、力強さ、野望的、カリスマ的、リーダーシップ
53,51,0,51_0,PAGE of CUP,カップの小姓,CP,コートカード,,親密になる,受け入れる,実直で賢い若者,人を楽しませたり心地よい気分にさせる,子供っぽい人との関わり,感情的になる、直感的、親密になる、受け入れる
54,52,0,52_0,KNIGHT of CUP,カップの騎士,CN,コートカード,,助けてくれる紳士的な,心優しい男性との関わり,男性から愛を注がれる,誘われたり誘ったりする,解決策の提案,マイペース、感情的すぎる、想像的、空想にふける、繊細
55,53,0,53_0,QUEEN of CUP,カップの女王,CQ,コートカード,,情の深い目上の女性,愛すること,直感的で芸術を愛好する,スピリチュアル,相手に尽くす・つかえる,情の深い母親、愛すること、直感的、スピリチュアル、情が厚い
56,54,0,54_0,KING of CUP,カップの王,CK,コートカード,,穏やかでおっとりした男性,温厚な父親,思いやり,寛容,包容力のあるこころの満足した状態男性,穏やか、そつがない、やさしい、思いやり、寛容、包容力
57,65,0,65_0,PAGE of PENTACLES,ペンタクルの小姓,PP,コートカード,,努力を惜しまない人物,勤勉な若者,目先のことから取り組む,時間をかけて成果を出す,愛よりも自分にとって価値ある男性を選ぶ,努力を惜しまない、勤勉な若者、結果を出す、目先のことから取り組む
58,66,0,66_0,KNIGHT of PENTACLES,ペンタクルの騎士,PN,コートカード,,注意深く情報を得る人,先を見る力,知恵の協力,現実的で要領の良い人物,自分の気持ちより客観的に安全な道を選ぶ,注意深い、徹底的、先を見る力、知恵の協力、現実的
59,67,0,67_0,QUEEN of PENTACLES,ペンタクルの女王,PQ,コートカード,,養うことに工夫を凝らす母親,物事に動じず現実的な人物,先回りする世話好き,頭の回転早く器用,状況判断や先を読む,養う、現実的、先回りする、計画的、そつがない
60,68,0,68_0,KING of PENTACLES,ペンタクルの王,PK,コートカード,,意欲的に頑固すぎるぐらい自分の道を守る,自然に人望集まる,やり手・成功者,感情をいれずに合理的に目的を達成する,相手の力を分析し適材適所に発揮させる,意欲的、熟達、やり手、プライド、支援する、損得勘定
61,23,1,23_1,PAGE of SWORDS,ソードの小姓,SP,コートカード,,無駄な行為,考え違いからミスを冒したり人に迷惑かける,先の読みが甘い男性,無責任になる,じっくり計画を進めるのをあきらめる,
62,24,1,24_1,KNIGHT of SWORDS,ソードの騎士,SN,コートカード,,思考・判断のレベルでの誤り,無駄な動き,見当違いな行動,問題から逃げる,心無い非道な言動に出る,
63,25,1,25_1,QUEEN of SWORDS,ソードの女王,SQ,コートカード,,強情さ,鋭い批判精神が悪い結果をまねく,不穏で心が休まらない,ゆずらないから不評を買う,別れ話で相手を責め立てる,
64,26,1,26_1,KING of SWORDS,ソードの王,SK,コートカード,,自分勝手な価値観を相手に押し付ける,融通の利かない人物,企てたり、策略的な言動に出る,一方的な契約破棄,他人の意見に耳を貸さない,
65,37,1,37_1,PAGE of WANDS,ワンドの小姓,WP,コートカード,,精神的に幼い,未熟,自信がなくすぐ撤退しがち,変わり身が激しい,若気の至り,
66,38,1,38_1,KNIGHT of WANDS,ワンドの騎士,WN,コートカード,,慌てて動けない,ひとりよがりな行動,考えが変わる,意思を貫けず弱気になる,衝動的に動く,
67,39,1,39_1,QUEEN of WANDS,ワンドの女王,WQ,コートカード,,感情的,情緒の激しい人,依存心がある女性,警戒心がなくおおざっぱ,甘えながら我を通そうとする,
68,40,1,40_1,KING of WANDS,ワンドの王,WK,コートカード,,独裁,衝動的で熱しやすく冷めやすい,攻撃的暴力的になる,あきらめが早く弱気になる,創造するより破壊する,
69,51,1,51_1,PAGE of CUP,カップの小姓,CP,コートカード,,無関心,無視される,すねる,気弱で甘やかされた人,過去の愛情関係に未練を抱く,
70,52,1,52_1,KNIGHT of CUP,カップの騎士,CN,コートカード,,優しさが災いする,自発的に欠けた流れやすさ,やわだと言われる,周囲に影響を受けやすい,相手に嫌われる行動,
71,53,1,53_1,QUEEN of CUP,カップの女王,CQ,コートカード,,情にもろい,自分自身の感情に酔う,依存的な側面,内向し引きこもりがちになる,自らの精神の堕落ゆえ人を信じられない,
72,54,1,54_1,KING of CUP,カップの王,CK,コートカード,,感情的な判断,頑固になる,守ってやる人がいない,女性のリードが必要な男性,不誠実な言動をとる,
73,65,1,65_1,PAGE of PENTACLES,ペンタクルの小姓,PP,コートカード,,理解しようとしない,努力しない,考えが浅い,今積み上げていることに自信をなくす,損得の判断ができない,
74,66,1,66_1,KNIGHT of PENTACLES,ペンタクルの騎士,PN,コートカード,,準備なしで行動する,情報に振り回されて失敗する,卑怯な手要領よく勝とうとする,失うのが怖くて臆病になる,利益を得られない,
75,67,1,67_1,QUEEN of PENTACLES,ペンタクルの女王,PQ,コートカード,,損することを極端に嫌い心が狭い,感情的になるなんでも言う,救われたいと願い金銭を無駄に投じる,社会的に自立していない女性,人に依存して利益を追求する,
76,68,1,68_1,KING of PENTACLES,ペンタクルの王,PK,コートカード,,私利私欲,利潤を追求する人物,恋愛や人を所有物としてみる,お金はないけどみせかけの成功者,強引に相手をコントロールしようとする,
77,27,0,27_0,ACE of SWORDS,ソードのエース,S1,スートカード,,精神力,不屈の精神,行動のもとになる思考,知性,攻撃性,精神力、不屈の精神、信念
78,28,0,28_0,Ⅱ SWORDS,ソード2,S2,スートカード,,制圧された感情,現実逃避,行き詰まり,結論を出せない,情を介さない相互関係,制圧された感情、現実逃避、行き詰まり、結論を出せない
79,29,0,29_0,Ⅲ SWORDS,ソード3,S3,スートカード,,悲観,孤独,成長ある行動,傷つく,トラウマ,悲観、孤独、成長ある行動、傷つく、トラウマ
80,30,0,30_0,Ⅳ SWORDS,ソード4,S4,スートカード,,精神的な休息,黙想,無心になる,立ち止まる,充電の時,精神的な休息、黙想、無心になる、立ち止まる
81,31,0,31_0,Ⅴ SWORDS,ソード5,S5,スートカード,私利私欲,私利私欲,不和,あからさまな誹謗中傷,悪意のある裏切り,破壊させる,私利私欲、不和、あからさまな誹謗中傷、悪意のある裏切り
82,32,0,32_0,Ⅵ SWORDS,ソード6,S6,スートカード,,憂うつ,発想の転換,非難,旅行,場所移す,憂うつ、発想の転換、非難、旅行、場所移す、逃げる
83,33,0,33_0,Ⅶ SWORDS,ソード7,S7,スートカード,,静かに奪う,必要な情報,一匹狼,駆け引きをする,悪事をごまかす,静かに奪う、必要な情報、一匹狼
84,34,0,34_0,Ⅷ SWORDS,ソード8,S8,スートカード,,制限,混乱,無力,身動きできない,自分で自分を縛る,制限、混乱、無力、身動きできない、自分で自分を縛る
85,35,0,35_0,Ⅸ SWORDS,ソード9,S9,スートカード,,心配,罪悪感,思い悩み絶望する,後悔,溜まっていた感情が外に出る,心配、罪悪感、不苦悩、後悔、溜まっていた感情が外にでる
86,36,0,36_0,Ⅹ SWORDS,ソード10,S10,スートカード,,最悪の状態から抜け出す,どん底から抜け出す,今までの自分を捨てる,八方ふさがりで攻撃を受ける,逃げられない状況,最悪の状態から抜け出す、どん底から抜け出す、今までの自分を捨てる
87,41,0,41_0,ACE of WANDS,ワンドのエース,W1,スートカード,,情熱,挑戦,自信,やる気,掴み取っていく,創造的な力、熱意、挑戦、自信、勇気、仕事へのやる気
88,42,0,42_0,Ⅱ WANDS,ワンド2,W2,スートカード,,独創的,計画性,昇進・昇格,次なる目標,挑戦するものと向き合う,独創的、計画性、個の力、目標、挑戦するものと向き合う
89,43,0,43_0,Ⅲ WANDS,ワンド3,W3,スートカード,,計画的な挑戦,野望的な前進,テリトリーにとらわれない,さらなる発展,事業・取引・商売の成立,計画的に挑戦する、野望的前進、リーダーシップ、さらに発展させる
90,44,0,44_0,Ⅳ WANDS,ワンド4,W4,スートカード,,祝い,影響力が出てくる,条件付き祝杯と受け入れ,他を巻き込み喜んでくれる,みんなの期待感,祝い、安定、祝杯、一時的休息、幸福、安心、自由、成功
91,45,0,45_0,Ⅴ WANDS,ワンド5,W5,スートカード,,意見の相違,自己主張の戦い,まとまらない,思いが届かない,軸が決まらない,意見の相違、競争、自己主張の戦い
92,46,0,46_0,Ⅵ WANDS,ワンド6,W6,スートカード,,一時的な勝利,争いが収まる,整理がつく,有利な状態になる,天狗になる,一時的勝利、争いが収まる、整理がつく、一時的に統一される
93,47,0,47_0,Ⅶ WANDS,ワンド7,W7,スートカード,,追い込まれる,立場を守る,自分の立場に信念をもつ,抵抗,慌てて応戦する,追い込まれる、立場を守る、信念、抵抗
94,48,0,48_0,Ⅷ WANDS,ワンド8,W8,スートカード,,速やかな進展,すばやい行動,インターネット,移動,迅速な発想の転換と解決,スピード、急速に動く、ニュース、すばやい行動、圧力が加わる
95,49,0,49_0,Ⅸ WANDS,ワンド9,W9,スートカード,,防衛,忍耐,失敗を繰り返したくない,鳥かごの鳥,傷ついて動けない,防衛、忍耐、失敗を繰り返したくない、しがらみから離れらない
96,50,0,50_0,Ⅹ WANDS,ワンド10,W10,スートカード,,抱え込みすぎ,重荷,責任感の重圧,力持ち,火事場のくそ力,抱え込みすぎ、重荷、一杯一杯、責任感の重圧
97,55,0,55_0,ACE of CUP,カップのエース,C1,スートカード,,沸き上がる愛情,あふれる気持ち,受容,純粋な,愛のはじまり,感情的な力、直感、親密さ、愛、出会い
98,56,0,56_0,Ⅱ CUP,カップ2,C2,スートカード,,共感し合う,二人が求める,愛情の分かち合い,和解,心の交流,結びつき、和解、魅力、ギブアンドテイク
99,57,0,57_0,Ⅲ CUP,カップ3,C3,スートカード,,両思い,豊かな感情,第3者の協力,対人関係の広がり,ひとつの結果が出る,豊かさ、友情、コミュニティ、グループ、団体、第三者
100,58,0,58_0,Ⅳ CUP,カップ4,C4,スートカード,,悩み,考える,自分自身に没頭,感情を落ち着かせる,誘惑に勝つ冷静さ,自分自身への没頭、無関心、自分の内側へ目を向ける
101,59,0,59_0,Ⅴ CUP,カップ5,C5,スートカード,,後悔,失恋,喪失感,引きずる,望みが叶わない,喪失、奪われる、喪失感、後悔、引きずる
102,60,0,60_0,Ⅵ CUP,カップ6,C6,スートカード,,初心に帰る,純粋な気持ち,受け取る純粋さ,過去が影響する出来事,ギフトを受け取る,善意、無垢、与えるやさしさ、受け取る純粋さ、初心に戻る
103,61,0,61_0,Ⅶ CUP,カップ7,C7,スートカード,,迷い,現実逃避,非現実的な妄想,自分を見失う,優柔不断,迷い、願望的思考、選択肢、だらしなさ、妄想、自分を見失う
104,62,0,62_0,Ⅷ CUP,カップ8,C8,スートカード,,執着を手放す,断ち切って先に進む,再出発,心を空っぽにする,時間をかけて手放す,執着を手放す、断ち切って先へ進む、転職、再出発
105,63,0,63_0,Ⅸ CUP,カップ9,C9,スートカード,,満足,望みが叶う,感情的に満たされている,幸福を手に入れる,断ち切ったことで大きな出会いを得る,満足、望みを果たす、感覚的な喜び、行動が成功をもたらす
106,64,0,64_0,Ⅹ CUP,カップ10,C10,スートカード,,願いが叶う,喜び,感情が満たされる,喜びをみんなで分かち合う,幸福は物でないことに気づく,感情が満たされている状態、喜び、平和、家族、これ以上無い幸せ
107,69,0,69_0,ACE of PENTACLES,ペンタクルのエース,P1,スートカード,,実質的な力,繁栄,実際的,成長の種,能力を試していく,実質的な力、繁栄、実際的、成長の種、能力を試していく
108,70,0,70_0,Ⅱ PENTACLES,ペンタクル2,P2,スートカード,,柔軟性,生活でのバランス,世渡り上手,現実的に向き合う,文書や物品のやりとり,柔軟性、生活でのバランス、世渡り上手、現実的に向き合う
109,71,0,71_0,Ⅲ PENTACLES,ペンタクル3,P3,スートカード,,チームワーク,発展途上,努力,自分を見せる能力アピール,専門技術,チームワーク、発展途上、努力、自分を見せる能力、アピール
110,72,0,72_0,Ⅳ PENTACLES,ペンタクル4,P4,スートカード,,所有欲,現状を守る,手放さない,変化を抑える,遺産・相続,所有欲、現状を守る、手放さない、変化を抑える
111,73,0,73_0,Ⅴ PENTACLES,ペンタクル5,P5,スートカード,,失う,体調不良,寂しさ,困難,助けを求める,失う、体調不良、寂しさ、困難、失う不安、助けを求める
112,74,0,74_0,Ⅵ PENTACLES,ペンタクル6,P6,スートカード,,投資し受け取る,与える、もらう,公平性のあること,要求,投資,投資し受け取る、与える、もらう、要求、投資
113,75,0,75_0,Ⅶ PENTACLES,ペンタクル7,P7,スートカード,,実りはあるが不満足,足りない,さらなる向上心,自分の能力を見直す,欲が先行し利益を出せない,実りはあるが不満足、足りない、さらなる向上心、自分の能力を見直す
114,76,0,76_0,Ⅷ PENTACLES,ペンタクル8,P8,スートカード,,再修行,経験を積み重ねる,知識や才能を伸ばす,勉強し技術を磨く,時間をかけて土台固め,再修行、経験を積み重ねる、知識、勉強し技術を磨く
115,77,0,77_0,Ⅸ PENTACLES,ペンタクル9,P9,スートカード,,チャンスをつかんで成功する,支援者の協力,実力とチャンス,努力が報われる,玉の輿,チャンスをつかんで成功する、支援者の協力、実力とチャンス
116,78,0,78_0,Ⅹ PENTACLES,ペンタクル10,P10,スートカード,,成功を収める,豊になる,目に見える幸せ,継承する,家族、親族に関する幸福,成功を収める、豊かになる、目に見える形での幸せ
117,27,1,27_1,ACE of SWORDS,ソードのエース,S1,スートカード,,判断ミス,目的を失う,冷淡,極端,過激な行動,
118,28,1,28_1,Ⅱ SWORDS,ソード2,S2,スートカード,,冷淡状態を打ち破る攻撃,先制攻撃で自分を傷つける,見切り発車の計画が挫折する,相手に構わない,考えと行動のタイミングのミス,
119,29,1,29_1,Ⅲ SWORDS,ソード3,S3,スートカード,,精神的に不安定,心をかき乱される,精神的な疎外,誤解,誤り,
120,30,1,30_1,Ⅳ SWORDS,ソード4,S4,スートカード,,休戦したいができない,タイミングを誤って休んでしまう,エネルギーの浪費にひとしい休息,追い込まれ新しい行動にでるしかない,軽い憂鬱,
121,31,1,31_1,Ⅴ SWORDS,ソード5,S5,スートカード,,荒れた関係を修復する必要がでてくる,破綻し自暴自棄になる,闘争から転倒してゆく,名誉の回復が問題になる,心を病む,
122,32,1,32_1,Ⅵ SWORDS,ソード6,S6,スートカード,,やむなく撤退していく,計画や公表できない,環境を変えるように迫られる,逃げても戻される,伝達能力や知性を生かしていない,
123,33,1,33_1,Ⅶ SWORDS,ソード7,S7,スートカード,,行動を正される,批判や厳しい指摘を受ける,避難されるが非があるのは当事者,からかい,本音が露見する,
124,34,1,34_1,Ⅷ SWORDS,ソード8,S8,スートカード,,複雑な事態が徐々に解きほぐされる,拘束が解ける,出口が見えてくる,時間が解決する,孤立無援になる,
125,35,1,35_1,Ⅸ SWORDS,ソード9,S9,スートカード,,中傷や孤立の中で恐怖の正体がわかる,絶望の中で意味を見出す,現実的な対処方法がわかる,正しい情報を集める,不安が現実にならないと悟る,
126,36,1,36_1,Ⅹ SWORDS,ソード10,S10,スートカード,,徐々に開放されていく,天災による被害,これ以上の悪化のしようのない,人間関係などの摩擦のおわり,事態は好転するのみ,
127,41,1,41_1,ACE of WANDS,ワンドのエース,W1,スートカード,,目標がない,自信がない,イメージが沸かない,創造力がない,闘争心がない,
128,42,1,42_1,Ⅱ WANDS,ワンド2,W2,スートカード,,無謀な計画,遅延,停滞,現状に満足し挑戦しない,自信と動機の喪失,
129,43,1,43_1,Ⅲ WANDS,ワンド3,W3,スートカード,,口だけで行動できていない,心が求めている行動ができない,打算的な目標,自信過剰,あきらめる弱気になる,
130,44,1,44_1,Ⅳ WANDS,ワンド4,W4,スートカード,,認めてもらえない,やってきたことを受け入れていくれない,共感する仲間がいない,ひとりよがり,過剰・不要な装飾,
131,45,1,45_1,Ⅴ WANDS,ワンド5,W5,スートカード,,闘争した結果自分有利でまだ想いが届く,心の中の葛藤,欲望がわからない,優先順位が見えてくる,意志をくじかれる,
132,46,1,46_1,Ⅵ WANDS,ワンド6,W6,スートカード,,立場が不利になる,担がれていることに気がつく,もう一度作戦を練る,鼻をへし折られる,ひとりよがり,
133,47,1,47_1,Ⅶ WANDS,ワンド7,W7,スートカード,,現状を守り切れない,戦いを放棄する,消極的,立場を追われる,窮地に追い込まれる,
134,48,1,48_1,Ⅷ WANDS,ワンド8,W8,スートカード,,減速する,流れが大きく乱れる,方向性の欠如,好ましくない方に急展開,波に乗れない,
135,49,1,49_1,Ⅸ WANDS,ワンド9,W9,スートカード,,包囲が弱まる,冊の外に出される,解放させてもらう,自分の権利を手放す,手放して自由になる,
136,50,1,50_1,Ⅹ WANDS,ワンド10,W10,スートカード,,荷をおろして楽になる,もっているものを手放す,重圧からの解放,周りが見えてくる,背負わなくていいと気づく,
137,55,1,55_1,ACE of CUP,カップのエース,C1,スートカード,,受け入れられない,気持ちを出せない,打算的な目的,満たされない気持ち,愛における悲しみ,
138,56,1,56_1,Ⅱ CUP,カップ2,C2,スートカード,,コミュニケーション不足,不純な関係,愛を受け入れられない,相手に伝えられない,愛のかたちに不満を抱く,
139,57,1,57_1,Ⅲ CUP,カップ3,C3,スートカード,,三角関係,協調できない,他社に依存する,人間関係の不調和,結論が出ない,
